iso3,country,measure,measure_name,unit,year,obs_value,year_date
JPN,Japan,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.1437,2021-01-01
LTU,Lithuania,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.0269,2017-01-01
LVA,Latvia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.006,2021-01-01
IRL,Ireland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.2014,2021-01-01
ISR,Israel,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.1154,2017-01-01
NLD,Netherlands,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.2549,2021-01-01
NOR,Norway,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.2006,2021-01-01
BEL,Belgium,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.2404,2017-01-01
COL,Colombia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.0139,2020-01-01
KOR,Korea,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.3547,2021-01-01
MLT,Malta,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0029,2021-01-01
ARG,Argentina,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0032,2021-01-01
FRA,France,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.4208,2021-01-01
HUN,Hungary,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.1951,2017-01-01
CZE,Czechia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.1143,2021-01-01
FIN,Finland,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0684,2021-01-01
GRC,Greece,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.1145,2021-01-01
CAN,Canada,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.1994,2021-01-01
CRI,Costa Rica,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0043,2021-01-01
SWE,Sweden,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.1255,2021-01-01
AUS,Australia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.155,2020-01-01
EST,Estonia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0662,2021-01-01
DEU,Germany,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0742,2021-01-01
OECD,OECD,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.2184,2020-01-01
SVK,Slovak Republic,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0864,2021-01-01
TUR,Türkiye,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.2293,2021-01-01
ZAF,South Africa,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0151,2021-01-01
BRA,Brazil,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.0633,2017-01-01
HRV,Croatia,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.0141,2021-01-01
EU27_2020,European Union (27 countries from 01/02/2020),DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.1733,2017-01-01
ESP,Spain,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2021,0.2154,2021-01-01
CHN,China (People’s Republic of),DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2017,0.1249,2017-01-01
ROU,Romania,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.0226,2020-01-01
CYP,Cyprus,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2020,0.0294,2020-01-01
GBR,United Kingdom,DF_GTARD,Sum of tax incentive support for business R&D (GTARD) and government-financed BERD,PT_B1GQ,2018,0.4134,2018-01-01
