iso3,economy,year,obs_value,var_axis
NLD,Netherlands,2017,9.92,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
POL,Poland,2017,8.85,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
PRI,Puerto Rico,2017,10.63,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
QAT,Qatar,2017,7.43,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SAU,Saudi Arabia,2017,11.45,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SVN,Slovenia,2017,6.85,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ZAF,South Africa,2017,10.96,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
KOR,South Korea,2017,12.98,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ESP,Spain,2017,6.19,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
SWE,Sweden,2017,7.29,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
CHE,Switzerland,2017,8.47,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
THA,Thailand,2017,21.62,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
ARE,United Arab Emirates,2017,8.97,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
GBR,United Kingdom,2017,8.40,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
USA,United States,2017,13.64,Share of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business in %
